2023-02-12 21:25:24,174 INFO    MainThread:12764 [wandb_setup.py:_flush():68] Configure stats pid to 12764
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_setup.py:_flush():68] Loading settings from /home/keonwookim/.config/wandb/settings
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_setup.py:_flush():68] Loading settings from /home/keonwookim/infogan/wandb/settings
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'dd.py', 'program': 'dd.py'}
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_init.py:_log_setup():492] Logging user logs to /home/keonwookim/infogan/wandb/run-20230212_212524-xyklh6vg/logs/debug.log
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_init.py:_log_setup():493] Logging internal logs to /home/keonwookim/infogan/wandb/run-20230212_212524-xyklh6vg/logs/debug-internal.log
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_init.py:init():532] calling init triggers
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_init.py:init():539] wandb.init called with sweep_config: {}
config: {}
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_init.py:init():588] starting backend
2023-02-12 21:25:24,175 INFO    MainThread:12764 [wandb_init.py:init():592] setting up manager
2023-02-12 21:25:24,179 INFO    MainThread:12764 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-12 21:25:24,182 INFO    MainThread:12764 [wandb_init.py:init():599] backend started and connected
2023-02-12 21:25:24,187 INFO    MainThread:12764 [wandb_init.py:init():687] updated telemetry
2023-02-12 21:25:24,188 INFO    MainThread:12764 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-12 21:25:24,737 INFO    MainThread:12764 [wandb_run.py:_on_init():2134] communicating current version
2023-02-12 21:25:24,831 INFO    MainThread:12764 [wandb_run.py:_on_init():2143] got version response 
2023-02-12 21:25:24,831 INFO    MainThread:12764 [wandb_init.py:init():775] starting run threads in backend
2023-02-12 21:25:30,787 INFO    MainThread:12764 [wandb_run.py:_console_start():2114] atexit reg
2023-02-12 21:25:30,787 INFO    MainThread:12764 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-12 21:25:30,787 INFO    MainThread:12764 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-12 21:25:30,787 INFO    MainThread:12764 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-12 21:25:30,788 INFO    MainThread:12764 [wandb_init.py:init():817] run started, returning control to user process
2023-02-12 22:19:10,539 WARNING MsgRouterThr:12764 [router.py:message_loop():77] message_loop has been closed
